duplicate_group,file,group_size,recommendation
32,docs/PHASE4_WORKLOAD_ANALYSIS.csv,2,choose canonical owner; archive/delete duplicate only after approval
32,benchmarks/results/PHASE4_WORKLOAD_ANALYSIS.csv,2,choose canonical owner; archive/delete duplicate only after approval
33,docs/PHASE5_GENERALIZATION_RESULTS.csv,2,choose canonical owner; archive/delete duplicate only after approval
33,benchmarks/results/PHASE5_GENERALIZATION_RESULTS.csv,2,choose canonical owner; archive/delete duplicate only after approval
34,docs/PHASE5_INVESTOR_SUMMARY.md,2,choose canonical owner; archive/delete duplicate only after approval
34,benchmarks/reports/PHASE5_INVESTOR_SUMMARY.md,2,choose canonical owner; archive/delete duplicate only after approval
35,docs/PHASE5_IP_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
35,benchmarks/reports/PHASE5_IP_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
36,docs/PHASE5_MOTIF_DATABASE.csv,3,choose canonical owner; archive/delete duplicate only after approval
36,benchmarks/results/PHASE5_MOTIF_DATABASE.csv,3,choose canonical owner; archive/delete duplicate only after approval
36,benchmarks/results/QADE_MOTIF_DATABASE.csv,3,choose canonical owner; archive/delete duplicate only after approval
37,docs/PHASE5_MOTIF_DATABASE.json,3,choose canonical owner; archive/delete duplicate only after approval
37,benchmarks/results/PHASE5_MOTIF_DATABASE.json,3,choose canonical owner; archive/delete duplicate only after approval
37,benchmarks/results/QADE_MOTIF_DATABASE.json,3,choose canonical owner; archive/delete duplicate only after approval
38,docs/PHASE5_TOP_MOTIFS.csv,2,choose canonical owner; archive/delete duplicate only after approval
38,benchmarks/results/PHASE5_TOP_MOTIFS.csv,2,choose canonical owner; archive/delete duplicate only after approval
39,docs/PHASE6_COMPETITIVE_MOAT_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
39,benchmarks/reports/PHASE6_COMPETITIVE_MOAT_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
40,docs/PHASE6_ECONOMIC_IMPACT_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
40,benchmarks/reports/PHASE6_ECONOMIC_IMPACT_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
41,docs/PHASE6_INVESTOR_SUMMARY.md,2,choose canonical owner; archive/delete duplicate only after approval
41,benchmarks/reports/PHASE6_INVESTOR_SUMMARY.md,2,choose canonical owner; archive/delete duplicate only after approval
42,docs/PHASE6_IP_PORTFOLIO_VALUE.csv,2,choose canonical owner; archive/delete duplicate only after approval
42,benchmarks/results/PHASE6_IP_PORTFOLIO_VALUE.csv,2,choose canonical owner; archive/delete duplicate only after approval
43,docs/PHASE6_IP_VALUATION_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
43,benchmarks/reports/PHASE6_IP_VALUATION_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
44,docs/PHASE6_LICENSING_MODEL.md,2,choose canonical owner; archive/delete duplicate only after approval
44,benchmarks/reports/PHASE6_LICENSING_MODEL.md,2,choose canonical owner; archive/delete duplicate only after approval
45,docs/PHASE6_MOTIF_ECONOMICS.csv,2,choose canonical owner; archive/delete duplicate only after approval
45,benchmarks/results/PHASE6_MOTIF_ECONOMICS.csv,2,choose canonical owner; archive/delete duplicate only after approval
46,docs/PHASE6_RISK_ANALYSIS.md,2,choose canonical owner; archive/delete duplicate only after approval
46,benchmarks/reports/PHASE6_RISK_ANALYSIS.md,2,choose canonical owner; archive/delete duplicate only after approval
47,docs/PHASE6_WORKLOAD_ECONOMICS.csv,2,choose canonical owner; archive/delete duplicate only after approval
47,benchmarks/results/PHASE6_WORKLOAD_ECONOMICS.csv,2,choose canonical owner; archive/delete duplicate only after approval
48,docs/PHASE7_COMPETITIVE_GAP.csv,2,choose canonical owner; archive/delete duplicate only after approval
48,benchmarks/results/PHASE7_COMPETITIVE_GAP.csv,2,choose canonical owner; archive/delete duplicate only after approval
49,docs/PHASE7_COMPETITIVE_GAP_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
49,benchmarks/reports/PHASE7_COMPETITIVE_GAP_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
50,docs/PHASE7_ECONOMIC_MOAT_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
50,benchmarks/reports/PHASE7_ECONOMIC_MOAT_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
51,docs/PHASE7_EXECUTIVE_SUMMARY.md,2,choose canonical owner; archive/delete duplicate only after approval
51,benchmarks/reports/PHASE7_EXECUTIVE_SUMMARY.md,2,choose canonical owner; archive/delete duplicate only after approval
52,docs/PHASE7_INVESTOR_POSITIONING.md,2,choose canonical owner; archive/delete duplicate only after approval
52,benchmarks/reports/PHASE7_INVESTOR_POSITIONING.md,2,choose canonical owner; archive/delete duplicate only after approval
53,docs/PHASE7_KNOWLEDGE_FLYWHEEL_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
53,benchmarks/reports/PHASE7_KNOWLEDGE_FLYWHEEL_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
54,docs/PHASE7_KNOWLEDGE_GROWTH.csv,2,choose canonical owner; archive/delete duplicate only after approval
54,benchmarks/results/PHASE7_KNOWLEDGE_GROWTH.csv,2,choose canonical owner; archive/delete duplicate only after approval
55,docs/PHASE7_MOAT_SCORES.csv,2,choose canonical owner; archive/delete duplicate only after approval
55,benchmarks/results/PHASE7_MOAT_SCORES.csv,2,choose canonical owner; archive/delete duplicate only after approval
56,docs/PHASE7_NETWORK_EFFECT.csv,2,choose canonical owner; archive/delete duplicate only after approval
56,benchmarks/results/PHASE7_NETWORK_EFFECT.csv,2,choose canonical owner; archive/delete duplicate only after approval
57,docs/PHASE7_NETWORK_EFFECT_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
57,benchmarks/reports/PHASE7_NETWORK_EFFECT_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
58,docs/PHASE7_PLATFORM_ANALYSIS.md,2,choose canonical owner; archive/delete duplicate only after approval
58,benchmarks/reports/PHASE7_PLATFORM_ANALYSIS.md,2,choose canonical owner; archive/delete duplicate only after approval
59,docs/REPRODUCIBILITY_30_SEED_FINAL_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
59,docs/REPRODUCIBILITY_IMPROVED_30_SEED_FINAL_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
60,physics/__init__.py,2,choose canonical owner; archive/delete duplicate only after approval
60,satelite/physics/__init__.py,2,choose canonical owner; archive/delete duplicate only after approval
61,satelite/black_compliance_report.md,2,choose canonical owner; archive/delete duplicate only after approval
61,satelite/VERIFICATION_BASELINE_v4/black_compliance_report.md,2,choose canonical owner; archive/delete duplicate only after approval
62,satelite/cdr_final_review_board_report.md,2,choose canonical owner; archive/delete duplicate only after approval
62,satelite/VERIFICATION_BASELINE_v4/cdr_final_review_board_report.md,2,choose canonical owner; archive/delete duplicate only after approval
63,satelite/CDR_READINESS_REVIEW.md,2,choose canonical owner; archive/delete duplicate only after approval
63,satelite/VERIFICATION_BASELINE_v3/CDR_READINESS_REVIEW.md,2,choose canonical owner; archive/delete duplicate only after approval
64,satelite/coverage_summary.json,2,choose canonical owner; archive/delete duplicate only after approval
64,satelite/VERIFICATION_BASELINE_v3/coverage_summary.json,2,choose canonical owner; archive/delete duplicate only after approval
65,satelite/coverage_summary_v4_candidate.json,2,choose canonical owner; archive/delete duplicate only after approval
65,satelite/VERIFICATION_BASELINE_v4/coverage_summary.json,2,choose canonical owner; archive/delete duplicate only after approval
66,satelite/ekf_validation_report.md,4,choose canonical owner; archive/delete duplicate only after approval
66,satelite/VERIFICATION_BASELINE_v2/ekf_validation_report.md,4,choose canonical owner; archive/delete duplicate only after approval
66,satelite/VERIFICATION_BASELINE_v3/ekf_validation_report.md,4,choose canonical owner; archive/delete duplicate only after approval
66,satelite/VERIFICATION_BASELINE_v4/ekf_validation_report.md,4,choose canonical owner; archive/delete duplicate only after approval
67,satelite/flight_heritage_calibration_report.md,2,choose canonical owner; archive/delete duplicate only after approval
67,satelite/VERIFICATION_BASELINE_v4/flight_heritage_calibration_report.md,2,choose canonical owner; archive/delete duplicate only after approval
68,satelite/flight_heritage_calibration_results.csv,4,choose canonical owner; archive/delete duplicate only after approval
68,satelite/VERIFICATION_BASELINE_v4/flight_heritage_calibration_results.csv,4,choose canonical owner; archive/delete duplicate only after approval
68,satelite/VERIFICATION_BASELINE_v4/heritage_comparison.csv,4,choose canonical owner; archive/delete duplicate only after approval
68,satelite/satellite/validation/heritage_comparison.csv,4,choose canonical owner; archive/delete duplicate only after approval
69,satelite/geometry_pareto_front.csv,2,choose canonical owner; archive/delete duplicate only after approval
69,satelite/datasets/geometry_pareto_front.csv,2,choose canonical owner; archive/delete duplicate only after approval
70,satelite/hil_results.csv,3,choose canonical owner; archive/delete duplicate only after approval
70,satelite/datasets/hil_results.csv,3,choose canonical owner; archive/delete duplicate only after approval
70,satelite/satellite/thermal/hil_results.csv,3,choose canonical owner; archive/delete duplicate only after approval
71,satelite/pydantic_migration_report.md,2,choose canonical owner; archive/delete duplicate only after approval
71,satelite/VERIFICATION_BASELINE_v4/pydantic_migration_report.md,2,choose canonical owner; archive/delete duplicate only after approval
72,satelite/verification_dashboard.csv,2,choose canonical owner; archive/delete duplicate only after approval
72,satelite/VERIFICATION_BASELINE_v1/verification_dashboard.csv,2,choose canonical owner; archive/delete duplicate only after approval
73,dashboard/.next/package.json,3,choose canonical owner; archive/delete duplicate only after approval
73,dashboard/.next/build/package.json,3,choose canonical owner; archive/delete duplicate only after approval
73,dashboard/.next/dev/build/package.json,3,choose canonical owner; archive/delete duplicate only after approval
74,dashboard/e2e/scientificQA.spec.ts,2,choose canonical owner; archive/delete duplicate only after approval
74,satelite/dashboard/e2e/scientificQA.spec.ts,2,choose canonical owner; archive/delete duplicate only after approval
75,dashboard/public/file.svg,2,choose canonical owner; archive/delete duplicate only after approval
75,satelite/dashboard/public/file.svg,2,choose canonical owner; archive/delete duplicate only after approval
76,dashboard/public/globe.svg,2,choose canonical owner; archive/delete duplicate only after approval
76,satelite/dashboard/public/globe.svg,2,choose canonical owner; archive/delete duplicate only after approval
77,dashboard/public/next.svg,2,choose canonical owner; archive/delete duplicate only after approval
77,satelite/dashboard/public/next.svg,2,choose canonical owner; archive/delete duplicate only after approval
78,dashboard/public/vercel.svg,2,choose canonical owner; archive/delete duplicate only after approval
78,satelite/dashboard/public/vercel.svg,2,choose canonical owner; archive/delete duplicate only after approval
79,dashboard/public/window.svg,2,choose canonical owner; archive/delete duplicate only after approval
79,satelite/dashboard/public/window.svg,2,choose canonical owner; archive/delete duplicate only after approval
80,dashboard/.next/build/postcss.js,2,choose canonical owner; archive/delete duplicate only after approval
80,dashboard/.next/dev/build/postcss.js,2,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/build/postcss.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/build/chunks/[turbopack-node]_transforms_postcss_ts_06e.r3r._.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/dev/build/postcss.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/dev/build/chunks/[turbopack-node]_transforms_postcss_ts_06e.r3r._.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/dev/server/app/[lang]/satellite/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/dev/server/chunks/ssr/[externals]_next_dist_0yew8f-._.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/dev/server/chunks/ssr/[externals]__0n13xf4._.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/dev/static/chunks/[turbopack]_browser_dev_hmr-client_hmr-client_ts_10z625~._.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/discoveries/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/favicon.ico/route.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/learn/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/mathematics/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/physics/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/quantum/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/satellite/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/_global-error/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/_not-found/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/compare/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/dashboard/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/discoveries/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/interactive/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/learn/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/mathematics/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/physics/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/quantum/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/satellite/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/dashboard/benchmark/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/dashboard/log/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/dashboard/roadmap/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/dashboard/scientific-log/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
81,dashboard/.next/server/app/[lang]/dashboard/timeline/page.js.map,32,choose canonical owner; archive/delete duplicate only after approval
82,dashboard/.next/server/interception-route-rewrite-manifest.js,2,choose canonical owner; archive/delete duplicate only after approval
82,dashboard/.next/dev/server/interception-route-rewrite-manifest.js,2,choose canonical owner; archive/delete duplicate only after approval
83,dashboard/.next/server/middleware-manifest.json,2,choose canonical owner; archive/delete duplicate only after approval
83,dashboard/.next/dev/server/middleware-manifest.json,2,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/prefetch-hints.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/dev/cache/next-devtools-config.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/dev/server/pages-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/dev/server/app/[lang]/satellite/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/discoveries/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/learn/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/mathematics/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/physics/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/quantum/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/satellite/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/compare/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/dashboard/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/dashboard/log/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/dashboard/roadmap/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/dashboard/scientific-log/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/dashboard/timeline/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/discoveries/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/interactive/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/learn/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/mathematics/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/physics/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/quantum/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/[lang]/satellite/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/_global-error/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
84,dashboard/.next/server/app/_not-found/page/react-loadable-manifest.json,26,choose canonical owner; archive/delete duplicate only after approval
85,dashboard/.next/types/cache-life.d.ts,2,choose canonical owner; archive/delete duplicate only after approval
85,dashboard/.next/dev/types/cache-life.d.ts,2,choose canonical owner; archive/delete duplicate only after approval
86,dashboard/.next/types/routes.d.ts,2,choose canonical owner; archive/delete duplicate only after approval
86,dashboard/.next/dev/types/routes.d.ts,2,choose canonical owner; archive/delete duplicate only after approval
87,dashboard/.next/build/chunks/[root-of-the-server]__0d-m0h0._.js,2,choose canonical owner; archive/delete duplicate only after approval
87,dashboard/.next/dev/build/chunks/[root-of-the-server]__0d-m0h0._.js,2,choose canonical owner; archive/delete duplicate only after approval
88,dashboard/.next/build/chunks/[root-of-the-server]__0d-m0h0._.js.map,2,choose canonical owner; archive/delete duplicate only after approval
88,dashboard/.next/dev/build/chunks/[root-of-the-server]__0d-m0h0._.js.map,2,choose canonical owner; archive/delete duplicate only after approval
89,dashboard/.next/build/chunks/[turbopack-node]_transforms_postcss_ts_06e.r3r._.js,2,choose canonical owner; archive/delete duplicate only after approval
89,dashboard/.next/dev/build/chunks/[turbopack-node]_transforms_postcss_ts_06e.r3r._.js,2,choose canonical owner; archive/delete duplicate only after approval
90,dashboard/.next/dev/server/app-paths-manifest.json,3,choose canonical owner; archive/delete duplicate only after approval
90,dashboard/.next/dev/server/app/[lang]/satellite/page/app-paths-manifest.json,3,choose canonical owner; archive/delete duplicate only after approval
90,dashboard/.next/server/app/[lang]/satellite/page/app-paths-manifest.json,3,choose canonical owner; archive/delete duplicate only after approval
91,dashboard/.next/dev/server/app/[lang]/satellite/page/next-font-manifest.json,2,choose canonical owner; archive/delete duplicate only after approval
91,dashboard/.next/server/app/[lang]/satellite/page/next-font-manifest.json,2,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/dev/server/app/[lang]/satellite/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/discoveries/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/learn/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/mathematics/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/physics/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/quantum/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/satellite/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/[lang]/compare/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/[lang]/dashboard/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/[lang]/dashboard/benchmark/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/[lang]/dashboard/log/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
92,dashboard/.next/server/app/[lang]/dashboard/roadmap/page/server-reference-manifest.json,24,choose canonical owner; archive/delete duplicate only after approval
