folder,classification,purpose,owner_subsystem,direct_file_count,recursive_file_count,dependencies,importance,recommendation
dashboard/.next/dev/server/chunks/ssr,Core Product,Core Product folder under dashboard,dashboard,60,60,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/static,Core Product,Core Product folder under dashboard,dashboard,0,127,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/static/chunks,Core Product,Core Product folder under dashboard,dashboard,56,56,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/static/development,Core Product,Core Product folder under dashboard,dashboard,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/static/media,Core Product,Core Product folder under dashboard,dashboard,68,68,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/types,Core Product,Core Product folder under dashboard,dashboard,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/diagnostics,Core Product,Core Product folder under dashboard,dashboard,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server,Core Product,Core Product folder under dashboard,dashboard,11,844,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app,Core Product,Core Product folder under dashboard,dashboard,33,583,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang],Core Product,Core Product folder under dashboard,dashboard,0,126,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/compare,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/compare/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard,Core Product,Core Product folder under dashboard,dashboard,4,54,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/benchmark,Testing,Testing folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/benchmark/page,Testing,Testing folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/log,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/log/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/roadmap,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/roadmap/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/scientific-log,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/scientific-log/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/timeline,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/dashboard/timeline/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/discoveries,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/discoveries/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/interactive,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/interactive/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/learn,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/learn/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/mathematics,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/mathematics/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/physics,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/physics/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/quantum,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/quantum/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/satellite,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/[lang]/satellite/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/_global-error,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/_global-error.segments,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/_global-error/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/_not-found,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/_not-found.segments,Core Product,Core Product folder under dashboard,dashboard,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/_not-found.segments/_not-found,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/_not-found/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/discoveries,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/discoveries.segments,Core Product,Core Product folder under dashboard,dashboard,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/discoveries.segments/discoveries,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/discoveries/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en,Core Product,Core Product folder under dashboard,dashboard,27,145,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/compare.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/compare.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/compare.segments/$d$lang/compare,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard,Core Product,Core Product folder under dashboard,dashboard,15,55,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/benchmark.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/benchmark.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/benchmark.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/benchmark.segments/$d$lang/dashboard/benchmark,Testing,Testing folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/log.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/log.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/log.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/log.segments/$d$lang/dashboard/log,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/roadmap.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/roadmap.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/roadmap.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/roadmap.segments/$d$lang/dashboard/roadmap,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/scientific-log.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/scientific-log.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/scientific-log.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/scientific-log.segments/$d$lang/dashboard/scientific-log,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/timeline.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/timeline.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/timeline.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/dashboard/timeline.segments/$d$lang/dashboard/timeline,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/discoveries.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/discoveries.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/discoveries.segments/$d$lang/discoveries,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/interactive.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/interactive.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/interactive.segments/$d$lang/interactive,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/learn.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/learn.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/learn.segments/$d$lang/learn,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/mathematics.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/mathematics.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/mathematics.segments/$d$lang/mathematics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/physics.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/physics.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/physics.segments/$d$lang/physics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/quantum.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/quantum.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/quantum.segments/$d$lang/quantum,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/satellite.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/satellite.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/en/satellite.segments/$d$lang/satellite,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es,Core Product,Core Product folder under dashboard,dashboard,27,145,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/compare.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/compare.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/compare.segments/$d$lang/compare,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard,Core Product,Core Product folder under dashboard,dashboard,15,55,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/benchmark.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/benchmark.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/benchmark.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/benchmark.segments/$d$lang/dashboard/benchmark,Testing,Testing folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/log.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/log.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/log.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/log.segments/$d$lang/dashboard/log,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/roadmap.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/roadmap.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/roadmap.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/roadmap.segments/$d$lang/dashboard/roadmap,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/scientific-log.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/scientific-log.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/scientific-log.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/scientific-log.segments/$d$lang/dashboard/scientific-log,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/timeline.segments,Core Product,Core Product folder under dashboard,dashboard,5,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/timeline.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/timeline.segments/$d$lang/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/dashboard/timeline.segments/$d$lang/dashboard/timeline,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/discoveries.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/discoveries.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/discoveries.segments/$d$lang/discoveries,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/interactive.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/interactive.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
