file,owner_subsystem,type,bytes,reason,recommendation
residual_discovery_report.json,<root>,.json,669,generated extension or report pattern,"keep if cited, otherwise archive by domain"
scientific_consensus_report.json,<root>,.json,315,generated extension or report pattern,"keep if cited, otherwise archive by domain"
scientific_kb.db,<root>,.db,28672,generated extension or report pattern,"keep if cited, otherwise archive by domain"
synthetic_theory_recovery_report.json,<root>,.json,531,generated extension or report pattern,"keep if cited, otherwise archive by domain"
synthetic_world_report.json,<root>,.json,1112,generated extension or report pattern,"keep if cited, otherwise archive by domain"
temporal_stability_report.json,<root>,.json,417,generated extension or report pattern,"keep if cited, otherwise archive by domain"
theory_memory.db,<root>,.db,110592,generated extension or report pattern,"keep if cited, otherwise archive by domain"
theory_surgery_report.json,<root>,.json,3703,generated extension or report pattern,"keep if cited, otherwise archive by domain"
artifacts/autonomous_session.json,artifacts,.json,2737,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/discovery_report.md,artifacts,.md,911,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/experiments.db,artifacts,.db,110592,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/qg_discovery_report.md,artifacts,.md,1321,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/qg_geometric_audit.json,artifacts,.json,963,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/robustness_report.md,artifacts,.md,1911,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/robustness_results.csv,artifacts,.csv,808,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/sota_report.md,artifacts,.md,2312,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/sota_results.csv,artifacts,.csv,689,artifact/result/report folder,"keep if cited, otherwise archive by domain"
artifacts/sota_summary.csv,artifacts,.csv,578,artifact/result/report folder,"keep if cited, otherwise archive by domain"
dashboard/next-start-observability-3051.err.log,dashboard,.log,0,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/next-start-observability-3051.out.log,dashboard,.log,167,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/next-start-observability-3052.err.log,dashboard,.log,0,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/next-start-observability-3052.out.log,dashboard,.log,167,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/next-start-observability.err.log,dashboard,.log,286,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/next-start-observability.out.log,dashboard,.log,47,generated extension or report pattern,"keep if cited, otherwise archive by domain"
databases/novel_predictions.db,databases,.db,28672,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_calibration_drift.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_cross_vendor_transfer.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_device_aging.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_gate_error.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_hardware_stability.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_leakage_rate.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_quantum_hardware_noise.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_readout_error.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_spectator_crosstalk.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
databases/reality_native_thermal_relaxation.db,databases,.db,61440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/collapse_evolution.png,figures,.png,106266,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/dynamic_curvature.png,figures,.png,75966,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/horizon_evolution.png,figures,.png,80059,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/inhomogeneous_evolution.png,figures,.png,68668,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/mass_inflation.png,figures,.png,76353,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/non_spherical_perturbations.png,figures,.png,60394,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/parameter_scan.png,figures,.png,98719,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/phase_space.png,figures,.png,68911,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/qg_audit_bec_horizon.pdf,figures,.pdf,16896,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/qg_audit_phase_transition.pdf,figures,.pdf,26036,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/qg_audit_spin_network.pdf,figures,.pdf,27597,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/qg_curvature_profiles.png,figures,.png,113230,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/qg_kretschmann_profiles.png,figures,.png,152379,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/qg_metric_profiles.png,figures,.png,143461,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/qnm_spectrum.png,figures,.png,105516,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/quantum_core_growth.png,figures,.png,100576,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/remnant_falsification_phase.png,figures,.png,74743,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/scalar_evolution.png,figures,.png,115069,artifact/result/report folder,"keep if cited, otherwise archive by domain"
figures/shockwave_formation.png,figures,.png,75817,artifact/result/report folder,"keep if cited, otherwise archive by domain"
physics/final_report.json,physics,.json,3283,generated extension or report pattern,"keep if cited, otherwise archive by domain"
physics/scientific_kb.db,physics,.db,28672,generated extension or report pattern,"keep if cited, otherwise archive by domain"
benchmarks/reports/CALIBRATION_AWARE_REPORT.md,benchmarks,.md,3153,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/COMMERCIAL_POSITION_FINAL.md,benchmarks,.md,889,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/COMPILER_COMPARISON_REPORT.md,benchmarks,.md,2098,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/EVOLUTION_ABLATION_REPORT.md,benchmarks,.md,1251,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/investor_executive_summary.md,benchmarks,.md,904,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE3_HARDWARE_AWARE_REPORT.md,benchmarks,.md,2665,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE3_INVESTOR_SUMMARY.md,benchmarks,.md,904,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE4_COMMERCIAL_POSITIONING.md,benchmarks,.md,2440,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE4_COMPETITIVE_ADVANTAGE_REPORT.md,benchmarks,.md,9454,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE4_INVESTOR_SUMMARY.md,benchmarks,.md,1005,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE5_INVESTOR_SUMMARY.md,benchmarks,.md,811,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE5_IP_REPORT.md,benchmarks,.md,2411,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE6_COMPETITIVE_MOAT_REPORT.md,benchmarks,.md,841,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE6_ECONOMIC_IMPACT_REPORT.md,benchmarks,.md,1269,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE6_INVESTOR_SUMMARY.md,benchmarks,.md,1019,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE6_IP_VALUATION_REPORT.md,benchmarks,.md,366,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE6_LICENSING_MODEL.md,benchmarks,.md,285,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE6_RISK_ANALYSIS.md,benchmarks,.md,1134,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE7_COMPETITIVE_GAP_REPORT.md,benchmarks,.md,678,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE7_ECONOMIC_MOAT_REPORT.md,benchmarks,.md,1070,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE7_EXECUTIVE_SUMMARY.md,benchmarks,.md,1305,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE7_INVESTOR_POSITIONING.md,benchmarks,.md,748,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE7_KNOWLEDGE_FLYWHEEL_REPORT.md,benchmarks,.md,1096,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE7_NETWORK_EFFECT_REPORT.md,benchmarks,.md,823,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PHASE7_PLATFORM_ANALYSIS.md,benchmarks,.md,581,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/PLACEMENT_ABLATION_REPORT.md,benchmarks,.md,1053,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/REPRODUCIBILITY_GUIDE.md,benchmarks,.md,494,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/ROUTING_COMPARISON_REPORT.md,benchmarks,.md,1745,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/reports/SCALING_REPORT.md,benchmarks,.md,1038,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/COMPILER_COMPARISON.csv,benchmarks,.csv,26890,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/COMPLETE_PHASE3_RESULTS.csv,benchmarks,.csv,20397,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE3_HARDWARE_AWARE_RESULTS.csv,benchmarks,.csv,20397,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE3_ROUTING_PLACEMENT_ABLATION.csv,benchmarks,.csv,3855,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE4_CATEGORY_SUMMARY.csv,benchmarks,.csv,2731,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE4_FAMILY_SUMMARY.csv,benchmarks,.csv,7432,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE4_WORKLOAD_ANALYSIS.csv,benchmarks,.csv,54037,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE5_GENERALIZATION_RESULTS.csv,benchmarks,.csv,2002,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE5_MOTIF_DATABASE.csv,benchmarks,.csv,5446,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE5_MOTIF_DATABASE.json,benchmarks,.json,13268,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE5_TOP_MOTIFS.csv,benchmarks,.csv,5655,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE6_IP_PORTFOLIO_VALUE.csv,benchmarks,.csv,463,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE6_MOTIF_ECONOMICS.csv,benchmarks,.csv,3015,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE6_WORKLOAD_ECONOMICS.csv,benchmarks,.csv,1062,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE7_COMPETITIVE_GAP.csv,benchmarks,.csv,319,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE7_KNOWLEDGE_GROWTH.csv,benchmarks,.csv,592,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE7_MOAT_SCORES.csv,benchmarks,.csv,352,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/PHASE7_NETWORK_EFFECT.csv,benchmarks,.csv,590,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/QADE_MOTIF_DATABASE.csv,benchmarks,.csv,5446,artifact/result/report folder,"keep if cited, otherwise archive by domain"
benchmarks/results/QADE_MOTIF_DATABASE.json,benchmarks,.json,13268,artifact/result/report folder,"keep if cited, otherwise archive by domain"
dashboard/.next/app-path-routes-manifest.json,dashboard,.json,1110,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build-manifest.json,dashboard,.json,503,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/BUILD_ID,dashboard,none,21,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/export-marker.json,dashboard,.json,111,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/fallback-build-manifest.json,dashboard,.json,299,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/images-manifest.json,dashboard,.json,1193,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/next-minimal-server.js.nft.json,dashboard,.json,5544,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/next-server.js.nft.json,dashboard,.json,40744,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/package.json,dashboard,.json,20,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/prerender-manifest.json,dashboard,.json,35534,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/required-server-files.js,dashboard,.js,9367,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/required-server-files.json,dashboard,.json,9338,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/routes-manifest.json,dashboard,.json,5719,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/trace,dashboard,none,12351,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/trace-build,dashboard,none,1203,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/turbopack,dashboard,none,0,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/package.json,dashboard,.json,20,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/postcss.js,dashboard,.js,913,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/postcss.js.map,dashboard,.map,53,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/cache/.previewinfo,dashboard,none,262,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/cache/.rscinfo,dashboard,none,102,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/cache/.tsbuildinfo,dashboard,none,181057,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build-manifest.json,dashboard,.json,1021,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/fallback-build-manifest.json,dashboard,.json,269,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/package.json,dashboard,.json,24,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/prerender-manifest.json,dashboard,.json,560,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/routes-manifest.json,dashboard,.json,308,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/trace,dashboard,none,2754,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/diagnostics/build-diagnostics.json,dashboard,.json,93,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/diagnostics/framework.json,dashboard,.json,37,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/diagnostics/route-bundle-stats.json,dashboard,.json,13152,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/app-paths-manifest.json,dashboard,.json,1374,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/functions-config-manifest.json,dashboard,.json,37,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/interception-route-rewrite-manifest.js,dashboard,.js,48,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/middleware-build-manifest.js,dashboard,.js,535,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/middleware-manifest.json,dashboard,.json,83,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/next-font-manifest.js,dashboard,.js,2860,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/next-font-manifest.json,dashboard,.json,2664,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/pages-manifest.json,dashboard,.json,58,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/prefetch-hints.json,dashboard,.json,2,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/server-reference-manifest.js,dashboard,.js,138,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/server/server-reference-manifest.json,dashboard,.json,97,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/types/cache-life.d.ts,dashboard,.ts,5854,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/types/routes.d.ts,dashboard,.ts,2651,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/types/validator.ts,dashboard,.ts,8561,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/node_modules_13sb.px._.js,dashboard,.js,258646,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/node_modules_13sb.px._.js.map,dashboard,.map,415805,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/[root-of-the-server]__0d-m0h0._.js,dashboard,.js,8436,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/[root-of-the-server]__0d-m0h0._.js.map,dashboard,.map,9993,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/[root-of-the-server]__0ubbtyl._.js,dashboard,.js,17727,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/[root-of-the-server]__0ubbtyl._.js.map,dashboard,.map,26429,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/[turbopack-node]_transforms_postcss_ts_06e.r3r._.js,dashboard,.js,597,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/[turbopack-node]_transforms_postcss_ts_06e.r3r._.js.map,dashboard,.map,53,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/[turbopack]_runtime.js,dashboard,.js,33660,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/build/chunks/[turbopack]_runtime.js.map,dashboard,.map,62756,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/package.json,dashboard,.json,20,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/postcss.js,dashboard,.js,913,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/postcss.js.map,dashboard,.map,53,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/cache/.rscinfo,dashboard,none,102,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/cache/next-devtools-config.json,dashboard,.json,2,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/logs/next-development.log,dashboard,.log,2833,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/app-paths-manifest.json,dashboard,.json,62,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/interception-route-rewrite-manifest.js,dashboard,.js,48,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/middleware-build-manifest.js,dashboard,.js,1053,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/middleware-manifest.json,dashboard,.json,83,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/next-font-manifest.js,dashboard,.js,262,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/next-font-manifest.json,dashboard,.json,213,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/pages-manifest.json,dashboard,.json,2,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/server-reference-manifest.js,dashboard,.js,138,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/server/server-reference-manifest.json,dashboard,.json,97,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/types/cache-life.d.ts,dashboard,.ts,5854,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/types/routes.d.ts,dashboard,.ts,2651,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/types/validator.ts,dashboard,.ts,8699,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/node_modules_13sb.px._.js,dashboard,.js,260639,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/node_modules_13sb.px._.js.map,dashboard,.map,416861,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/[root-of-the-server]__0d-m0h0._.js,dashboard,.js,8436,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/[root-of-the-server]__0d-m0h0._.js.map,dashboard,.map,9993,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/[root-of-the-server]__0ubbtyl._.js,dashboard,.js,18063,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/[root-of-the-server]__0ubbtyl._.js.map,dashboard,.map,26570,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/[turbopack-node]_transforms_postcss_ts_06e.r3r._.js,dashboard,.js,597,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/[turbopack-node]_transforms_postcss_ts_06e.r3r._.js.map,dashboard,.map,53,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/[turbopack]_runtime.js,dashboard,.js,69002,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/build/chunks/[turbopack]_runtime.js.map,dashboard,.map,122994,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/cache/turbopack/ee6e79b1/00000001.sst,dashboard,.sst,74079,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/cache/turbopack/ee6e79b1/00000002.sst,dashboard,.sst,12492,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/cache/turbopack/ee6e79b1/00000003.sst,dashboard,.sst,52,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/cache/turbopack/ee6e79b1/00000004.sst,dashboard,.sst,5937,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/cache/turbopack/ee6e79b1/00000005.meta,dashboard,.meta,674,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dashboard/.next/dev/cache/turbopack/ee6e79b1/00000006.meta,dashboard,.meta,1773,generated extension or report pattern,"keep if cited, otherwise archive by domain"
