file,source_domain,target_domain,import,cross_domain,note
physics/domain_adaptation.py,physics,core,core.base_module,True,
physics/epistemic_calibration_audit.py,physics,physics,physics.core.base_module,False,
physics/epistemic_calibration_audit.py,physics,physics,physics.knowledge_graph,False,
physics/epistemic_calibration_audit.py,physics,physics,physics.scientific_memory_advanced,False,
physics/epistemic_calibration_audit.py,physics,core,core.base_module,True,
physics/epistemic_hardening_engine.py,physics,physics,physics.core.base_module,False,
physics/epistemic_hardening_engine.py,physics,physics,physics.epistemic_calibration_audit,False,
physics/epistemic_hardening_engine.py,physics,physics,physics.scientific_memory_advanced,False,
physics/epistemic_hardening_engine.py,physics,core,core.base_module,True,
physics/ev3_neural.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/expert_validation.py,physics,physics,physics.core.base_module,False,
physics/expert_validation.py,physics,core,core.base_module,True,
physics/feature_redundancy_analysis.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/frontier_discovery.py,physics,physics,physics.core.base_module,False,
physics/frontier_discovery.py,physics,physics,physics.knowledge_graph,False,
physics/frontier_discovery.py,physics,physics,physics.meta_learning_engine,False,
physics/frontier_discovery.py,physics,physics,physics.multi_agent_system,False,
physics/frontier_discovery.py,physics,physics,physics.physics_sanity_engine,False,
physics/frontier_discovery.py,physics,physics,physics.scientific_guard,False,
physics/frontier_discovery.py,physics,physics,physics.scientific_memory_advanced,False,
physics/frontier_discovery.py,physics,core,core.base_module,True,
physics/longitudinal_stability_audit.py,physics,physics,physics.core.base_module,False,
physics/longitudinal_stability_audit.py,physics,physics,physics.autonomous_scientific_cycle,False,
physics/longitudinal_stability_audit.py,physics,physics,physics.epistemic_calibration_audit,False,
physics/longitudinal_stability_audit.py,physics,physics,physics.epistemic_hardening_engine,False,
physics/longitudinal_stability_audit.py,physics,physics,physics.scientific_memory_advanced,False,
physics/longitudinal_stability_audit.py,physics,physics,physics.knowledge_graph,False,
physics/longitudinal_stability_audit.py,physics,core,core.base_module,True,
physics/memory_consolidation_engine.py,physics,physics,physics.core.base_module,False,
physics/memory_consolidation_engine.py,physics,physics,physics.scientific_memory_advanced,False,
physics/memory_consolidation_engine.py,physics,physics,physics.knowledge_graph,False,
physics/memory_consolidation_engine.py,physics,core,core.base_module,True,
physics/meta_learning_engine.py,physics,physics,physics.core.base_module,False,
physics/meta_learning_engine.py,physics,physics,physics.core.model_registry,False,
physics/meta_learning_engine.py,physics,physics,physics.knowledge_graph,False,
physics/meta_learning_engine.py,physics,core,core.base_module,True,
physics/meta_learning_engine.py,physics,core,core.model_registry,True,
physics/multi_agent_system.py,physics,physics,physics.core.base_module,False,
physics/multi_agent_system.py,physics,physics,physics.physics_sanity_engine,False,
physics/multi_agent_system.py,physics,physics,physics.scientific_guard,False,
physics/multi_agent_system.py,physics,core,core.base_module,True,
physics/neural_ode_module.py,physics,physics,physics.core.neurosymbolic.neural_ode,False,
physics/null_models.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/physical_lab_interface.py,physics,satellite,satellite.thermal.fdir_engine,True,
physics/physical_lab_interface.py,physics,satellite,satellite.thermal.hardware_in_the_loop,True,
physics/physical_lab_interface.py,physics,satellite,satellite.thermal.hil_real_hardware,True,
physics/physical_lab_interface.py,physics,physics,physics.core.base_module,False,
physics/physical_lab_interface.py,physics,physics,physics.scientific_guard,False,
physics/physical_lab_interface.py,physics,core,core.base_module,True,
physics/physics_sanity_engine.py,physics,physics,physics.core.base_module,False,
physics/physics_sanity_engine.py,physics,physics,physics.scientific_guard,False,
physics/physics_sanity_engine.py,physics,physics,physics.symbolic_discovery,False,
physics/physics_sanity_engine.py,physics,physics,physics.synthetic_systems,False,
physics/physics_sanity_engine.py,physics,core,core.base_module,True,
physics/plugin.py,physics,core,core.domains.domain_registry,True,
physics/plugin.py,physics,physics,physics.factories.classical_factory,False,
physics/qg_autonomous_discovery.py,physics,physics,physics.core.autonomous.autonomous_scientist,False,
physics/quantum_gravity_features.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/reality_gap_audit.py,physics,physics,physics.core.base_module,False,
physics/reality_gap_audit.py,physics,core,core.base_module,True,
physics/real_data_ingestor.py,physics,physics,physics.core.base_module,False,
physics/real_data_ingestor.py,physics,physics,physics.core.autonomous.latent_snapshot_exporter,False,
physics/real_data_ingestor.py,physics,core,core.base_module,True,
physics/real_data_ingestor.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/reproducibility_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/reproducibility_verification.py,physics,physics,physics.core.base_module,False,
physics/robustness_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/robustness_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/robustness_stress_test.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/run_autonomous_sweep.py,physics,core,core.autonomous,True,
physics/run_massive_sweep.py,physics,core,core.autonomous,True,
physics/run_pipeline.py,physics,core,core.io,True,
physics/run_pipeline.py,physics,physics,physics.core.autonomous.autonomous_scientist,False,
physics/scientific_impact_assessment.py,physics,physics,physics.core.base_module,False,
physics/scientific_impact_assessment.py,physics,core,core.base_module,True,
physics/scientific_memory_advanced.py,physics,physics,physics.core.base_module,False,
physics/scientific_memory_advanced.py,physics,physics,physics.core.model_registry,False,
physics/scientific_memory_advanced.py,physics,physics,physics.knowledge_graph,False,
physics/scientific_memory_advanced.py,physics,core,core.abstractions.base_memory,True,
physics/scientific_memory_advanced.py,physics,core,core.base_module,True,
physics/scientific_memory_advanced.py,physics,core,core.model_registry,True,
physics/scientific_readiness_assessment.py,physics,physics,physics.core.base_module,False,
physics/scientific_readiness_assessment.py,physics,core,core.base_module,True,
physics/sota_benchmark.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/stress_test_autonomous.py,physics,physics,physics.core.autonomous.autonomous_scientist,False,
physics/stress_test_autonomous.py,physics,physics,physics.core.autonomous.llm_reasoner,False,
physics/stress_test_autonomous.py,physics,physics,physics.core.autonomous.sandbox_executor,False,
physics/symbolic_discovery.py,physics,physics,physics.core.neurosymbolic.symbolic,False,
physics/symbolic_discovery.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/system_audit_phase18.py,physics,physics,physics.core.artifact_manager,False,
physics/system_audit_phase18.py,physics,physics,physics.core.base_module,False,
physics/system_audit_phase18.py,physics,physics,physics.core.config_manager,False,
physics/system_audit_phase18.py,physics,physics,physics.core.report_manager,False,
physics/system_audit_phase18.py,physics,core,core.artifact_manager,True,
physics/system_audit_phase18.py,physics,core,core.base_module,True,
physics/system_audit_phase18.py,physics,core,core.config_manager,True,
physics/system_audit_phase18.py,physics,core,core.report_manager,True,
physics/system_maturation_phase.py,physics,physics,physics.core.base_module,False,
physics/system_maturation_phase.py,physics,physics,physics.meta_learning_engine,False,
physics/system_maturation_phase.py,physics,physics,physics.multi_agent_system,False,
physics/system_maturation_phase.py,physics,physics,physics.scientific_memory_advanced,False,
physics/system_maturation_phase.py,physics,core,core.base_module,True,
physics/system_maturity_assessment.py,physics,physics,physics.core.base_module,False,
physics/system_maturity_assessment.py,physics,core,core.base_module,True,
physics/theory_autowriter.py,physics,physics,physics.core.base_module,False,
physics/theory_autowriter.py,physics,physics,physics.physics_sanity_engine,False,
physics/theory_autowriter.py,physics,physics,physics.scientific_guard,False,
physics/theory_autowriter.py,physics,core,core.base_module,True,
physics/ucr_loader.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
quantum/plugin.py,quantum,core,core.domains.domain_registry,True,
quantum/plugin.py,quantum,quantum,quantum.factories.quantum_factory,False,
satelite/plugin.py,satelite,core,core.domains.domain_registry,True,
satelite/plugin.py,satelite,core,core.orchestration.scientific_container,True,
tests/test_abstractions.py,tests,core,core.abstractions.base_hypothesis_generator,True,
tests/test_abstractions.py,tests,core,core.abstractions.base_critic,True,
tests/test_abstractions.py,tests,core,core.abstractions.base_sandbox,True,
tests/test_abstractions.py,tests,core,core.abstractions.base_memory,True,
tests/test_abstractions.py,tests,physics,physics.adapters.classical_hypothesis_generator,True,
tests/test_abstractions.py,tests,physics,physics.adapters.classical_physics_critic,True,
tests/test_abstractions.py,tests,physics,physics.agents.hypothesis_generator,True,
tests/test_causal_observability.py,tests,quantum,quantum.evolution.population_manager,True,
tests/test_causal_observability.py,tests,quantum,quantum.sandbox.qiskit_quantum_sandbox,True,
tests/test_causal_observability.py,tests,quantum,quantum.critics.quantum_critic,True,
tests/test_causal_observability.py,tests,quantum,quantum.memory.quantum_memory,True,
tests/test_causal_observability.py,tests,quantum,quantum.evolution.evolution_engine,True,
tests/test_causal_observability.py,tests,core,core.observability.dashboard,True,
tests/test_confidence_weighted_retrieval.py,tests,quantum,quantum.memory.quantum_memory,True,
tests/test_confidence_weighted_retrieval.py,tests,quantum,quantum.evolution.evolution_engine,True,
tests/test_confidence_weighted_retrieval.py,tests,quantum,quantum.evolution.population_manager,True,
tests/test_confidence_weighted_retrieval.py,tests,quantum,quantum.sandbox.qiskit_quantum_sandbox,True,
tests/test_confidence_weighted_retrieval.py,tests,quantum,quantum.critics.quantum_critic,True,
tests/test_dependency_injection.py,tests,core,core.orchestration.scientific_container,True,
tests/test_dependency_injection.py,tests,physics,physics.factories.classical_factory,True,
tests/test_dependency_injection.py,tests,physics,physics.core.autonomous.autonomous_scientist,True,
tests/test_dependency_injection.py,tests,core,core.abstractions.base_hypothesis_generator,True,
tests/test_dependency_injection.py,tests,core,core.abstractions.base_critic,True,
tests/test_dependency_injection.py,tests,core,core.abstractions.base_sandbox,True,
tests/test_dependency_injection.py,tests,core,core.abstractions.base_memory,True,
tests/test_dependency_injection.py,tests,physics,physics.core.autonomous.sandbox_executor,True,
tests/test_dependency_injection.py,tests,physics,physics.core.autonomous.llm_reasoner,True,
tests/test_dependency_injection.py,tests,physics,physics.core.autonomous.autonomous_scientist,True,
tests/test_domain_registry.py,tests,core,core.domains.domain_spec,True,
tests/test_domain_registry.py,tests,core,core.domains.domain_registry,True,
tests/test_domain_registry.py,tests,core,core.domains.plugin_loader,True,
tests/test_domain_registry.py,tests,core,core.orchestration.scientist_factory,True,
tests/test_domain_registry.py,tests,core,core.orchestration.scientific_container,True,
tests/test_domain_registry.py,tests,physics,physics.core.autonomous.autonomous_scientist,True,
tests/test_observability.py,tests,core,core.observability.capability_registry,True,
tests/test_observability.py,tests,core,core.observability.documentation_manager,True,
tests/test_observability.py,tests,core,core.observability.experiment_logger,True,
tests/test_observability.py,tests,core,core.observability.dashboard,True,
tests/test_observability.py,tests,core,core.observability.snapshot_generator,True,
tests/test_pattern_valuation.py,tests,quantum,quantum.knowledge.pattern_valuation,True,
.agent/skills/ui-ux-pro-max/scripts/design_system.py,.agent,core,core,True,
.agent/skills/ui-ux-pro-max/scripts/design_system.py,.agent,core,core,True,
.agent/skills/ui-ux-pro-max/scripts/search.py,.agent,core,core,True,
core/domains/domain_registry.py,core,core,core.domains.domain_spec,False,
core/observability/cli.py,core,core,core.observability.documentation_manager,False,
core/observability/cli.py,core,core,core.observability.snapshot_generator,False,
core/observability/documentation_manager.py,core,core,core.observability.capability_registry,False,
core/observability/documentation_manager.py,core,core,core.observability.snapshot_generator,False,
core/observability/snapshot_generator.py,core,core,core.observability.capability_registry,False,
core/observability/__init__.py,core,core,core.observability.capability_registry,False,
core/observability/__init__.py,core,core,core.observability.snapshot_generator,False,
core/observability/__init__.py,core,core,core.observability.experiment_logger,False,
core/observability/__init__.py,core,core,core.observability.dashboard,False,
core/observability/__init__.py,core,core,core.observability.documentation_manager,False,
core/orchestration/scientist_factory.py,core,core,core.domains.domain_registry,False,
core/orchestration/scientist_factory.py,core,core,core.domains.plugin_loader,False,
core/orchestration/scientist_factory.py,core,physics,physics.core.autonomous.autonomous_scientist,True,
physics/adapters/classical_hypothesis_generator.py,physics,core,core.abstractions.base_hypothesis_generator,True,
physics/adapters/classical_hypothesis_generator.py,physics,physics,physics.agents.hypothesis_generator,False,
physics/adapters/classical_physics_critic.py,physics,core,core.abstractions.base_critic,True,
physics/adapters/classical_physics_critic.py,physics,physics,physics.agents.theory_critic,False,
physics/agents/experiment_planner.py,physics,physics,physics.agents.hypothesis_generator,False,
physics/benchmark/blind_benchmark.py,physics,physics,physics.benchmark.isolated_environment,False,
physics/benchmark/blind_benchmark.py,physics,physics,physics.benchmark.benchmark_scorer,False,
physics/benchmark/blind_benchmark.py,physics,physics,physics.core.autonomous_scientific_cycle,False,
physics/benchmark/blind_benchmark.py,physics,physics,physics.agents.hypothesis_generator,False,
physics/benchmark/blind_benchmark.py,physics,physics,physics.agents.theory_critic,False,
physics/benchmark/blind_benchmark.py,physics,physics,physics.agents.experiment_planner,False,
physics/benchmark/blind_benchmark.py,physics,physics,physics.agents.metric_analyst,False,
physics/benchmark/diagnostic_trace.py,physics,physics,physics.benchmark.isolated_environment,False,
physics/benchmark/diagnostic_trace.py,physics,physics,physics.agents.hypothesis_generator,False,
physics/benchmark/diagnostic_trace.py,physics,physics,physics.agents.theory_critic,False,
physics/benchmark/reproducibility_challenge.py,physics,physics,physics.benchmark.isolated_environment,False,
physics/benchmark/reproducibility_challenge.py,physics,physics,physics.benchmark.benchmark_scorer,False,
physics/benchmark/reproducibility_challenge.py,physics,physics,physics.core.autonomous_scientific_cycle,False,
physics/benchmark/reproducibility_challenge.py,physics,physics,physics.agents.hypothesis_generator,False,
physics/benchmark/reproducibility_challenge.py,physics,physics,physics.agents.theory_critic,False,
physics/benchmark/reproducibility_challenge.py,physics,physics,physics.agents.experiment_planner,False,
physics/benchmark/reproducibility_challenge.py,physics,physics,physics.agents.metric_analyst,False,
physics/core/artifact_manager.py,physics,physics,physics.core.io.artifact_manager,False,
physics/core/artifact_manager.py,physics,core,core.io.artifact_manager,True,
physics/core/autonomous_scientific_cycle.py,physics,physics,physics.core.io.knowledge_graph,False,
physics/core/base_module.py,physics,physics,physics.core.artifact_manager,False,
physics/core/base_module.py,physics,physics,physics.core.config_manager,False,
physics/core/base_module.py,physics,physics,physics.core.experiment_registry,False,
physics/core/base_module.py,physics,physics,physics.core.report_manager,False,
physics/core/base_module.py,physics,core,core.artifact_manager,True,
physics/core/base_module.py,physics,core,core.config_manager,True,
physics/core/base_module.py,physics,core,core.experiment_registry,True,
physics/core/base_module.py,physics,core,core.report_manager,True,
physics/core/experiment_registry.py,physics,physics,physics.experiment_versioning,False,
physics/core/test_cycle.py,physics,physics,physics.core.autonomous_scientific_cycle,False,
physics/factories/classical_factory.py,physics,core,core.orchestration.scientific_container,True,
physics/factories/classical_factory.py,physics,physics,physics.adapters.classical_hypothesis_generator,False,
physics/factories/classical_factory.py,physics,physics,physics.adapters.classical_physics_critic,False,
physics/factories/classical_factory.py,physics,physics,physics.core.autonomous.sandbox_executor,False,
physics/factories/classical_factory.py,physics,physics,physics.scientific_memory_advanced,False,
physics/factories/classical_factory.py,physics,physics,physics.core.autonomous.llm_reasoner,False,
physics/tests/test_adversarial_validation.py,physics,physics,physics.adversarial_scientific_validation,False,
physics/tests/test_blind_benchmark.py,physics,physics,physics.benchmark.isolated_environment,False,
physics/tests/test_blind_benchmark.py,physics,physics,physics.benchmark.benchmark_scorer,False,
physics/tests/test_epistemic_calibration.py,physics,physics,physics.epistemic_calibration_audit,False,
physics/tests/test_epistemic_hardening.py,physics,physics,physics.epistemic_hardening_engine,False,
physics/tests/test_longitudinal_stability.py,physics,physics,physics.longitudinal_stability_audit,False,
physics/tests/test_memory_consolidation.py,physics,physics,physics.memory_consolidation_engine,False,
physics/tests/test_phase1_integration.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/tests/test_phase4_integration.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/tests/test_phase5_integration.py,physics,physics,physics.core.autonomous.llm_reasoner,False,
physics/tests/test_phase5_integration.py,physics,physics,physics.core.autonomous.sandbox_executor,False,
physics/tests/test_phase5_integration.py,physics,physics,physics.core.autonomous.autonomous_scientist,False,
physics/tests/test_reality_gap_audit.py,physics,physics,physics.reality_gap_audit,False,
physics/tests/test_reproducibility_challenge.py,physics,physics,physics.benchmark.isolated_environment,False,
physics/tests/test_reproducibility_challenge.py,physics,physics,physics.benchmark.benchmark_scorer,False,
physics/tests/test_reproducibility_verification.py,physics,physics,physics.reproducibility_verification,False,
physics/tests/test_scientific_impact.py,physics,physics,physics.scientific_impact_assessment,False,
physics/tests/test_scientific_readiness.py,physics,physics,physics.scientific_readiness_assessment,False,
physics/tests/test_system_maturity.py,physics,physics,physics.system_maturity_assessment,False,
physics/unification_search/run_qg_search.py,physics,physics,physics.core.autonomous_scientific_cycle,False,
physics/unification_search/run_qg_search.py,physics,physics,physics.agents.hypothesis_generator,False,
physics/unification_search/run_qg_search.py,physics,physics,physics.agents.theory_critic,False,
physics/unification_search/run_qg_search.py,physics,physics,physics.agents.experiment_planner,False,
physics/unification_search/run_qg_search.py,physics,physics,physics.agents.metric_analyst,False,
physics/artifacts/experiments_archive/_insight_injector.py,physics,core,core.evaluator_db,True,
physics/core/autonomous/autonomous_scientist.py,physics,core,core.orchestration.domain_configuration,True,
physics/core/autonomous/autonomous_scientist.py,physics,physics,physics.core.autonomous.sandbox_executor,False,
physics/core/autonomous/autonomous_scientist.py,physics,physics,physics.core.autonomous.llm_reasoner,False,
physics/core/autonomous/autonomous_scientist.py,physics,core,core.observability.dashboard,True,
physics/core/autonomous/autonomous_scientist.py,physics,physics,physics.scientific_guard,False,
physics/core/autonomous/autonomous_scientist.py,physics,physics,physics.knowledge_graph,False,
physics/core/autonomous/research_reporter.py,physics,core,core.io,True,
physics/core/autonomous/sandbox_executor.py,physics,core,core.abstractions.base_sandbox,True,
physics/core/autonomous/session_analyzer.py,physics,core,core.io,True,
physics/core/autonomous/session_analyzer.py,physics,core,core.validation,True,
physics/core/empirical/causal_continuity_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/empirical/mit_bih_bifurcated_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/empirical/physionet_ecg_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/io/session_exporter.py,physics,physics,physics.core.schemas,False,
physics/core/io/session_exporter.py,physics,physics,physics.core.io.artifact_manager,False,
physics/core/io/session_exporter.py,physics,core,core.schemas,True,
physics/core/io/session_exporter.py,physics,core,core.io.artifact_manager,True,
physics/core/neurosymbolic/pinn.py,physics,physics,physics.pinn_module,False,
physics/core/neurosymbolic/__init__.py,physics,physics,physics.core.neurosymbolic.pinn,False,
physics/core/neurosymbolic/__init__.py,physics,physics,physics.core.neurosymbolic.neural_ode,False,
physics/core/neurosymbolic/__init__.py,physics,physics,physics.core.neurosymbolic.symbolic,False,
physics/core/validation/adversarial_scientific_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/validation/causal_ablation_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/validation/causal_robustness.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/validation/cross_system_generalization_tests.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/validation/dataset_bias_elimination_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/validation/dynamic_discrimination_tests.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/validation/embedding_intrinsic_stability_audit.py,physics,core,core.validation.cross_system_generalization_tests,True,
physics/core/validation/epistemological_validity_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/core/validation/hyperparameter_stability_audit.py,physics,core,core.validation.cross_system_generalization_tests,True,
physics/core/validation/manifold_failure_diagnosis.py,physics,core,core.validation.cross_system_generalization_tests,True,
physics/core/validation/raw_embedding_robustness_closure_audit.py,physics,core,core.validation.cross_system_generalization_tests,True,
physics/core/validation/strict_leakage_audit.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
