artifact,exists,executable,verified,classification,notes
astos_cfs_app/astos_tbldefs.h,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/check_misra.py,TRUE,TRUE,TRUE,REAL,Nominal flight/ground asset.
astos_cfs_app/fault_injection.py,TRUE,TRUE,TRUE,REAL,Nominal flight/ground asset.
astos_cfs_app/fault_injection_report.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/Makefile,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/misra_report.txt,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/mpc_benchmark.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/mpc_benchmark.py,TRUE,TRUE,TRUE,REAL,Nominal flight/ground asset.
astos_cfs_app/mpc_controller.c,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/mpc_controller.h,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/integration_tests/README.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/integration_tests/test_cfs_integration.py,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/unit_tests/Makefile,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/unit_tests/run_tests.py,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/unit_tests/test_astos_app.c,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/updates/model_weights.bin,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
backend/thermal_api.py,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
benchmarks/cad_benchmark_output.csv,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
benchmarks/deterministic_execution.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
benchmarks/pinn_benchmark_output.csv,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
benchmarks/run_cad_benchmark.py,TRUE,TRUE,TRUE,REAL,Nominal flight/ground asset.
benchmarks/run_pinn_benchmark.py,TRUE,TRUE,TRUE,REAL,Nominal flight/ground asset.
benchmarks/run_tvac_benchmark.py,TRUE,TRUE,TRUE,REAL,Nominal flight/ground asset.
benchmarks/tvac_benchmark_output.csv,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/.gitignore,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/AGENTS.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/CLAUDE.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/Dockerfile,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/next-env.d.ts,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/next-start-observability-3051.err.log,TRUE,FALSE,FALSE,UNKNOWN,Empty file segment.
dashboard/next-start-observability-3051.out.log,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/next-start-observability-3052.err.log,TRUE,FALSE,FALSE,UNKNOWN,Empty file segment.
dashboard/next-start-observability-3052.out.log,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/next-start-observability.err.log,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/next-start-observability.out.log,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/next.config.ts,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/package-lock.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/package.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/playwright.config.ts,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/postcss.config.mjs,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/README.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/tsconfig.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/e2e/scientificQA.spec.ts,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/demo_data.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/file.svg,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/globe.svg,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/next.svg,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/vercel.svg,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/window.svg,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/baselines/baseline_index.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/baselines/massive_sweep_2026-05-20T23-02-23Z.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/benchmarks/benchmark_results.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/adversarial_audit_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/adversarial_scientific_audit_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/causal_ablation_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/causal_continuity_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/causal_validation_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/cross_system_generalization_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/dataset_bias_elimination_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/dynamic_discrimination_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/embedding_intrinsic_stability_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/epistemological_validity_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/hyperparameter_stability_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/manifold_diagnosis_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/massive_sweep_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/mit_bih_bifurcated_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/noise_robustness_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/physionet_empirical_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/raw_embedding_robustness_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/reproducibility_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/scientific_regression_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/strict_leakage_audit_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/discoveries/structural_invariance_report.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/embeddings/latent_embeddings.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/embeddings/manifold_snapshots.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/experiments/pipeline_state.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/history/history_index.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/history/massive_sweep_2026-05-20T22-56-14Z.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/history/massive_sweep_2026-05-20T23-02-23Z.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/history/massive_sweep_2026-05-21T09-54-05Z.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/history/massive_sweep_2026-05-21T10-02-11Z.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/history/massive_sweep_2026-05-21T10-09-25Z.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_isolation_noise0_seed42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_isolation_noise1_seed42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.0.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.0000_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.0000_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.0000_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.2.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.2222_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.2222_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.2222_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.2500_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.4444_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.4444_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.4444_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.5.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.5000_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.6667_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.6667_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.6667_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.7500_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.8889_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.8889_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_0.8889_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.0000_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.1111_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.1111_seed_1337_debug.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.1111_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.1111_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.3333_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.3333_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.3333_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.5556_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.5556_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.5556_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.7778_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.7778_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_1.7778_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_2.0000_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_2.0000_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/lorenz_noise_2.0000_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.0000_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.0000_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.0000_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.2222_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.2222_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.2222_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.2500_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.4444_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.4444_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.4444_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.5000_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.6667_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.6667_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.6667_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.7500_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.8889_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.8889_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_0.8889_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.0000_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.1111_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.1111_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.1111_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.3333_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.3333_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.3333_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.5556_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.5556_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.5556_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.7778_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.7778_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_1.7778_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_2.0000_seed_1337.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_2.0000_seed_42.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/rossler_noise_2.0000_seed_9001.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/smoke_test.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/test_graph.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/test_phase6_pipeline.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/VerificationExperiment.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_001/benchmark.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_001/embeddings.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_001/logs.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_001/metadata.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_001/telemetry.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_002/benchmark.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_002/embeddings.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_002/logs.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_002/metadata.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/sessions/experiment_002/telemetry.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/public/artifacts/telemetry/lorenz_telemetry.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/screenshots/discoveries-en-desktop.png,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/screenshots/discoveries-es-mobile.png,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/screenshots/learn-en-desktop.png,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/screenshots/references-en-desktop.png,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/screenshots/references-es-mobile.png,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/favicon.ico,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/globals.css,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/layout.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/discoveries/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/learn/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/mathematics/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/physics/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/quantum/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/satellite/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/layout.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/compare/ComparePageClient.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/compare/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/dashboard/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/dashboard/benchmark/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/dashboard/log/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/dashboard/roadmap/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/dashboard/scientific-log/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/dashboard/timeline/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/dashboard/timeline/TimelineClient.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/discoveries/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/interactive/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/learn/LearnPageClient.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/learn/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/mathematics/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/physics/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/quantum/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/app/[lang]/satellite/page.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/cinematic/AmbientBackground.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/cinematic/AuroraLayer.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/cinematic/DynamicGlow.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/cinematic/FloatingParticles.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/cinematic/NoiseTexture.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/cinematic/RadialIllumination.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/cinematic/ScientificGrid.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/dashboard/BenchmarkChart.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/dashboard/KPICard.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
dashboard/src/components/educational/ConceptDetailModal.tsx,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
