Timestamp_Epoch,Orbit_Time_Min,ISS_ATCS_CPU_Raw_C,ISS_ATCS_Battery_Raw_C,ISS_ATCS_Radiator_Raw_C,Solar_Flux_W_m2,Payload_Power_W
177986337,38.96,43.378,25.135,51.634,1361.0,15.0
177986359,39.32,43.061,25.612,52.948,1361.0,15.0
177986380,39.68,42.136,25.471,50.073,1361.0,15.0
177986402,40.04,42.705,25.349,49.45,1361.0,15.0
177986424,40.4,42.549,25.383,49.038,1361.0,15.0
177986445,40.76,43.318,25.155,47.693,1361.0,15.0
177986467,41.12,42.062,25.673,46.367,1361.0,15.0
177986488,41.48,42.065,25.306,45.538,1361.0,15.0
177986510,41.84,41.735,25.283,46.343,1361.0,15.0
177986532,42.2,41.084,25.355,43.093,1361.0,15.0
177986553,42.57,41.81,25.297,42.286,1361.0,15.0
177986575,42.93,41.455,25.236,42.006,1361.0,15.0
177986597,43.29,11.271,25.061,101.007,1361.0,15.0
177986618,43.65,40.391,25.227,40.029,1361.0,15.0
177986640,44.01,41.115,25.414,38.481,1361.0,15.0
177986662,44.37,39.792,25.308,35.822,1361.0,15.0
177986683,44.73,40.386,25.319,37.263,1361.0,15.0
177986705,45.09,40.826,24.977,33.704,1361.0,15.0
177986727,45.45,39.352,24.878,33.95,1361.0,15.0
177986748,45.81,39.32,24.98,31.943,1361.0,15.0
177986770,46.17,39.386,24.979,31.509,1361.0,15.0
177986791,46.53,38.944,25.105,30.809,1361.0,15.0
177986813,46.89,38.325,24.658,29.753,1361.0,15.0
177986835,47.25,38.773,25.111,28.796,1361.0,15.0
177986856,47.62,38.123,24.827,28.827,1361.0,15.0
177986878,47.98,38.539,24.755,26.745,0.0,5.0
177986900,48.34,37.785,24.635,25.085,0.0,5.0
177986921,48.7,38.578,24.507,25.146,0.0,5.0
177986943,49.06,37.45,24.845,24.33,0.0,5.0
177986965,49.42,37.442,24.7,21.143,0.0,5.0
177986986,49.78,37.705,24.461,21.782,0.0,5.0
177987008,50.14,36.698,24.426,20.88,0.0,5.0
177987030,50.5,37.094,24.536,18.996,0.0,5.0
177987051,50.86,37.34,24.801,19.526,0.0,5.0
177987073,51.22,35.99,24.477,17.188,0.0,5.0
177987094,51.58,36.525,24.255,16.483,0.0,5.0
177987116,51.94,36.376,24.407,15.272,0.0,5.0
177987138,52.3,36.408,24.367,14.512,0.0,5.0
177987159,52.67,35.426,23.967,12.595,0.0,5.0
177987181,53.03,35.22,24.327,11.383,0.0,5.0
177987203,53.39,35.788,24.263,13.225,0.0,5.0
177987224,53.75,35.531,24.365,10.154,0.0,5.0
177987246,54.11,35.349,24.501,9.165,0.0,5.0
177987268,54.47,35.227,24.355,7.276,0.0,5.0
177987289,54.83,34.659,24.108,7.812,0.0,5.0
177987311,55.19,34.87,23.945,6.387,0.0,5.0
177987333,55.55,34.743,24.459,8.263,0.0,5.0
177987354,55.91,34.193,24.044,6.92,0.0,5.0
177987376,56.27,35.081,24.0,4.635,0.0,5.0
177987397,56.63,34.383,23.956,6.545,0.0,5.0
177987419,56.99,33.581,23.952,4.683,0.0,5.0
177987441,57.35,34.187,23.863,2.809,0.0,5.0
177987462,57.72,33.405,23.761,0.174,0.0,5.0
177987484,58.08,33.985,23.727,3.828,0.0,5.0
177987506,58.44,34.012,23.767,-0.12,0.0,5.0
177987527,58.8,33.103,23.653,-0.965,0.0,5.0
177987549,59.16,33.704,23.591,0.843,0.0,5.0
177987571,59.52,33.375,23.677,1.548,0.0,5.0
177987592,59.88,33.434,23.586,0.05,0.0,5.0
177987614,60.24,33.764,23.813,-1.213,0.0,5.0
177987636,60.6,32.812,23.154,-1.687,0.0,5.0
177987657,60.96,32.518,23.679,-1.932,0.0,5.0
177987679,61.32,32.377,23.667,-2.471,0.0,5.0
177987701,61.68,32.324,23.134,-3.331,0.0,5.0
177987722,62.04,32.542,23.358,-3.896,0.0,5.0
177987744,62.4,32.637,23.319,-4.427,0.0,5.0
177987765,62.77,32.544,23.13,-5.405,0.0,5.0
177987787,63.13,32.701,23.191,-5.31,0.0,5.0
177987809,63.49,32.317,23.107,-6.886,0.0,5.0
177987830,63.85,32.84,23.504,-5.731,0.0,5.0
177987852,64.21,32.104,23.349,-6.786,0.0,5.0
177987874,64.57,33.255,23.368,-7.117,0.0,5.0
177987895,64.93,32.379,23.254,-6.164,0.0,5.0
177987917,65.29,31.752,22.946,-5.249,0.0,5.0
177987939,65.65,31.638,23.006,-5.824,0.0,5.0
177987960,66.01,32.236,23.128,-8.187,0.0,5.0
177987982,66.37,31.935,22.843,-7.761,0.0,5.0
177988004,66.73,32.297,23.105,-6.093,0.0,5.0
177988025,67.09,32.193,22.934,-7.867,0.0,5.0
177988047,67.45,31.971,22.886,-7.202,0.0,5.0
177988068,67.82,31.663,23.023,-6.495,0.0,5.0
177988090,68.18,31.403,22.957,-7.825,0.0,5.0
177988112,68.54,31.842,22.811,-6.795,0.0,5.0
177988133,68.9,32.381,23.015,-8.001,0.0,5.0
177988155,69.26,32.146,22.655,-7.225,0.0,5.0
177988177,69.62,31.589,22.887,-6.253,0.0,5.0
177988198,69.98,32.189,22.861,-7.806,0.0,5.0
177988220,70.34,32.311,22.705,-5.78,0.0,5.0
177988242,70.7,31.845,22.78,-5.973,0.0,5.0
177988263,71.06,32.308,22.523,-5.211,0.0,5.0
177988285,71.42,32.321,22.831,-5.233,0.0,5.0
177988307,71.78,31.898,22.646,-3.908,0.0,5.0
177988328,72.14,32.56,22.578,-4.699,0.0,5.0
177988350,72.51,32.708,22.798,-4.849,0.0,5.0
177988371,72.87,32.988,22.519,-3.977,0.0,5.0
177988393,73.23,33.052,22.399,-3.199,0.0,5.0
177988415,73.59,32.161,22.363,-3.22,0.0,5.0
177988436,73.95,32.422,22.674,-2.78,0.0,5.0
177988458,74.31,33.093,22.379,-2.976,0.0,5.0
177988480,74.67,33.187,22.824,-2.445,0.0,5.0
177988501,75.03,33.286,22.238,-2.591,0.0,5.0
177988523,75.39,34.725,22.796,0.788,0.0,5.0
177988545,75.75,33.519,22.564,-1.341,0.0,5.0
177988566,76.11,33.857,22.511,-0.258,0.0,5.0
177988588,76.47,33.901,22.437,0.328,0.0,5.0
177988610,76.83,33.9,22.573,2.411,0.0,5.0
177988631,77.19,33.637,22.503,1.992,0.0,5.0
177988653,77.56,34.195,22.671,4.053,0.0,5.0
177988674,77.92,33.714,22.52,3.017,0.0,5.0
177988696,78.28,34.065,22.523,4.587,0.0,5.0
177988718,78.64,34.105,22.446,4.317,0.0,5.0
177988739,79.0,34.475,22.492,7.751,0.0,5.0
177988761,79.36,35.514,22.548,5.521,0.0,5.0
177988783,79.72,33.992,22.247,7.657,0.0,5.0
177988804,80.08,35.167,22.304,8.754,0.0,5.0
177988826,80.44,34.404,22.622,9.378,0.0,5.0
177988848,80.8,35.02,22.541,9.678,0.0,5.0
177988869,81.16,35.807,22.494,10.583,0.0,5.0
177988891,81.52,35.563,22.531,11.609,0.0,5.0
177988913,81.88,35.275,22.588,12.323,0.0,5.0
177988934,82.24,35.591,22.463,14.222,0.0,5.0
177988956,82.61,36.323,22.437,16.257,0.0,5.0
177988977,82.97,35.935,22.594,14.692,0.0,5.0
177988999,83.33,36.493,22.429,14.9,0.0,5.0
177989021,83.69,36.606,22.649,17.004,0.0,5.0
177989042,84.05,36.51,22.346,20.368,0.0,5.0
177989064,84.41,37.814,22.77,18.296,0.0,5.0
177989086,84.77,37.397,22.701,21.477,0.0,5.0
177989107,85.13,36.522,22.685,22.505,0.0,5.0
177989129,85.49,37.598,22.81,21.498,0.0,5.0
177989151,85.85,37.451,22.93,23.518,0.0,5.0
177989172,86.21,38.25,22.851,25.489,0.0,5.0
177989194,86.57,37.787,22.442,24.706,0.0,5.0
177989216,86.93,38.255,22.546,25.895,0.0,5.0
177989237,87.29,38.7,22.665,26.591,1361.0,15.0
177989259,87.66,39.043,22.785,27.242,1361.0,15.0
177989280,88.02,38.415,22.881,28.617,1361.0,15.0
177989302,88.38,63.962,22.717,89.149,1361.0,15.0
177989324,88.74,39.106,22.878,31.334,1361.0,15.0
177989345,89.1,39.235,22.761,31.665,1361.0,15.0
177989367,89.46,40.404,22.808,33.624,1361.0,15.0
177989389,89.82,40.061,22.715,33.071,1361.0,15.0
177989410,90.18,39.596,22.814,35.827,1361.0,15.0
177989432,90.54,40.669,22.777,37.336,1361.0,15.0
177989454,90.9,41.352,22.862,35.848,1361.0,15.0
177989475,91.26,41.117,23.195,39.034,1361.0,15.0
177989497,91.62,40.297,22.924,40.854,1361.0,15.0
177989519,91.98,40.911,23.491,39.71,1361.0,15.0
177989540,92.34,41.81,23.2,43.35,1361.0,15.0
177989562,92.71,41.219,23.185,43.263,1361.0,15.0
177989583,93.07,41.877,23.06,43.287,1361.0,15.0
177989605,93.43,42.206,23.326,44.902,1361.0,15.0
177989627,93.79,41.72,23.167,46.479,1361.0,15.0
177989648,94.15,42.261,23.305,47.063,1361.0,15.0
177989670,94.51,41.18,23.704,48.489,1361.0,15.0
177989692,94.87,42.258,23.339,48.177,1361.0,15.0
177989713,95.23,42.756,23.56,50.15,1361.0,15.0
177989735,95.59,42.545,23.317,49.709,1361.0,15.0
177989757,95.95,43.882,23.453,51.854,1361.0,15.0
177989778,96.31,42.841,23.759,52.103,1361.0,15.0
177989800,96.67,43.418,23.435,53.205,1361.0,15.0
177989822,97.03,43.825,23.837,55.918,1361.0,15.0
177989843,97.39,44.526,23.707,56.714,1361.0,15.0
177989865,97.76,43.549,23.553,57.194,1361.0,15.0
177989886,98.12,44.76,23.769,56.562,1361.0,15.0
177989908,98.48,44.467,23.857,58.145,1361.0,15.0
177989930,98.84,44.236,23.842,60.392,1361.0,15.0
177989951,99.2,44.976,23.55,60.283,1361.0,15.0
177989973,99.56,45.031,23.714,63.082,1361.0,15.0
177989995,99.92,44.868,23.824,62.171,1361.0,15.0
177990016,100.28,45.331,23.887,62.795,1361.0,15.0
177990038,100.64,45.353,24.029,63.132,1361.0,15.0
177990060,101.0,45.754,24.001,64.3,1361.0,15.0
177990081,101.36,46.17,23.812,64.794,1361.0,15.0
177990103,101.72,46.734,24.107,66.301,1361.0,15.0
177990125,102.08,45.794,24.179,67.238,1361.0,15.0
177990146,102.44,47.328,24.209,66.362,1361.0,15.0
177990168,102.81,45.877,24.325,66.544,1361.0,15.0
177990189,103.17,46.775,24.325,66.742,1361.0,15.0
177990211,103.53,47.245,24.306,69.482,1361.0,15.0
177990233,103.89,47.293,24.264,68.641,1361.0,15.0
177990254,104.25,47.097,24.063,68.284,1361.0,15.0
177990276,104.61,47.425,24.413,71.136,1361.0,15.0
177990298,104.97,47.468,24.416,73.573,1361.0,15.0
177990319,105.33,47.583,24.462,71.843,1361.0,15.0
177990341,105.69,48.307,24.266,73.099,1361.0,15.0
177990363,106.05,48.254,24.331,72.89,1361.0,15.0
177990384,106.41,47.973,24.687,73.175,1361.0,15.0
177990406,106.77,48.745,24.558,74.515,1361.0,15.0
177990428,107.13,48.638,24.701,73.826,1361.0,15.0
177990449,107.49,48.966,24.638,74.703,1361.0,15.0
177990471,107.86,49.013,24.672,75.101,1361.0,15.0
177990492,108.22,48.546,24.842,74.535,1361.0,15.0
177990514,108.58,48.764,24.657,76.328,1361.0,15.0
177990536,108.94,49.393,24.781,75.551,1361.0,15.0
177990557,109.3,49.44,24.73,75.275,1361.0,15.0
177990579,109.66,49.284,24.766,76.66,1361.0,15.0
177990601,110.02,49.43,24.816,75.563,1361.0,15.0
177990622,110.38,49.981,24.926,76.567,1361.0,15.0
177990644,110.74,49.314,24.851,76.676,1361.0,15.0
177990666,111.1,49.846,25.141,77.777,1361.0,15.0
177990687,111.46,49.618,24.847,77.317,1361.0,15.0
177990709,111.82,49.678,24.981,76.931,1361.0,15.0
177990731,112.18,50.265,24.971,77.726,1361.0,15.0
177990752,112.55,50.212,25.281,78.251,1361.0,15.0
177990774,112.91,50.258,25.12,77.485,1361.0,15.0
177990795,113.27,50.501,25.271,76.949,1361.0,15.0
177990817,113.63,50.028,24.918,75.689,1361.0,15.0
177990839,113.99,50.328,25.205,75.815,1361.0,15.0
177990860,114.35,49.962,25.322,76.376,1361.0,15.0
177990882,114.71,50.241,25.223,75.953,1361.0,15.0
177990904,115.07,50.08,25.393,76.157,1361.0,15.0
177990925,115.43,50.187,25.176,76.175,1361.0,15.0
177990947,115.79,50.397,25.486,76.373,1361.0,15.0
177990969,116.15,49.837,25.639,75.579,1361.0,15.0
177990990,116.51,51.002,25.258,75.8,1361.0,15.0
177991012,116.87,49.759,25.264,75.115,1361.0,15.0
177991034,117.23,49.666,25.565,72.949,1361.0,15.0
177991055,117.6,50.602,25.601,73.525,1361.0,15.0
177991077,117.96,50.437,25.301,73.86,1361.0,15.0
177991098,118.32,50.347,25.33,72.496,1361.0,15.0
177991120,118.68,50.32,25.365,73.694,1361.0,15.0
177991142,119.04,50.032,25.218,74.078,1361.0,15.0
177991163,119.4,49.641,25.294,73.319,1361.0,15.0
177991185,119.76,49.989,25.292,71.528,1361.0,15.0
177991207,120.12,49.642,25.337,72.537,1361.0,15.0
177991228,120.48,50.252,25.456,70.781,1361.0,15.0
177991250,120.84,49.749,25.504,69.774,1361.0,15.0
177991272,121.2,49.419,25.709,68.932,1361.0,15.0
177991293,121.56,49.557,25.333,68.597,1361.0,15.0
177991315,121.92,49.784,25.635,67.884,1361.0,15.0
177991337,122.28,49.322,25.46,67.73,1361.0,15.0
177991358,122.65,49.144,25.488,67.043,1361.0,15.0
177991380,123.01,49.491,25.599,66.203,1361.0,15.0
177991402,123.37,49.409,25.331,65.876,1361.0,15.0
177991423,123.73,49.022,25.557,65.817,1361.0,15.0
177991445,124.09,48.947,25.525,64.844,1361.0,15.0
177991466,124.45,49.134,25.572,61.878,1361.0,15.0
177991488,124.81,48.366,25.539,60.124,1361.0,15.0
177991510,125.17,48.282,25.861,62.453,1361.0,15.0
177991531,125.53,48.454,25.393,59.556,1361.0,15.0
177991553,125.89,48.549,25.404,59.741,1361.0,15.0
177991575,126.25,48.65,25.384,58.031,1361.0,15.0
177991596,126.61,49.003,25.387,56.588,1361.0,15.0
177991618,126.97,48.641,25.367,57.809,1361.0,15.0
177991640,127.33,48.116,25.632,57.102,1361.0,15.0
177991661,127.7,48.052,25.657,54.983,1361.0,15.0
177991683,128.06,47.535,25.347,52.24,1361.0,15.0
177991705,128.42,47.804,25.296,53.139,1361.0,15.0
177991726,128.78,47.568,25.479,53.029,1361.0,15.0
177991748,129.14,47.683,25.312,50.381,1361.0,15.0
177991769,129.5,47.091,25.476,50.901,1361.0,15.0
177991791,129.86,47.496,25.396,49.737,1361.0,15.0
177991813,130.22,47.766,25.122,49.277,1361.0,15.0
177991834,130.58,46.973,25.565,47.86,1361.0,15.0
177991856,130.94,47.038,25.584,45.865,1361.0,15.0
177991878,131.3,47.014,25.204,46.798,1361.0,15.0
177991899,131.66,46.436,25.219,44.553,1361.0,15.0
177991921,132.02,46.543,25.3,43.639,1361.0,15.0
177991943,132.38,46.315,25.286,41.786,1361.0,15.0
177991964,132.75,46.205,25.313,41.184,1361.0,15.0
177991986,133.11,45.711,25.493,39.74,1361.0,15.0
177992008,133.47,45.884,25.141,39.331,1361.0,15.0
177992029,133.83,45.927,25.024,39.974,1361.0,15.0
177992051,134.19,46.162,24.912,36.144,1361.0,15.0
177992072,134.55,45.818,24.984,34.87,1361.0,15.0
177992094,134.91,46.148,25.062,36.588,1361.0,15.0
177992116,135.27,44.833,25.31,34.018,1361.0,15.0
177992137,135.63,45.341,24.935,32.547,1361.0,15.0
177992159,135.99,44.919,25.018,33.03,1361.0,15.0
177992181,136.35,45.574,24.953,30.494,1361.0,15.0
177992202,136.71,44.229,25.105,31.631,1361.0,15.0
177992224,137.07,14.071,25.276,89.55,1361.0,15.0
177992246,137.43,44.022,24.786,27.456,1361.0,15.0
177992267,137.8,43.268,24.761,28.796,1361.0,15.0
177992289,138.16,43.765,24.96,25.275,0.0,5.0
177992311,138.52,43.529,24.873,25.459,0.0,5.0
177992332,138.88,43.752,25.015,24.038,0.0,5.0
177992354,139.24,43.69,24.793,23.924,0.0,5.0
177992375,139.6,44.166,24.618,23.15,0.0,5.0
177992397,139.96,43.659,24.726,20.774,0.0,5.0
177992419,140.32,42.914,24.77,19.077,0.0,5.0
177992440,140.68,42.652,24.692,19.189,0.0,5.0
177992462,141.04,43.078,24.61,17.194,0.0,5.0
177992484,141.4,42.224,24.658,18.657,0.0,5.0
177992505,141.76,43.358,24.638,16.02,0.0,5.0
177992527,142.12,42.974,24.633,14.632,0.0,5.0
177992549,142.48,42.192,24.487,14.204,0.0,5.0
177992570,142.85,41.576,24.328,11.916,0.0,5.0
177992592,143.21,42.686,24.338,11.358,0.0,5.0
177992614,143.57,41.985,24.46,12.431,0.0,5.0
177992635,143.93,42.415,24.12,9.893,0.0,5.0
177992657,144.29,41.174,24.26,8.691,0.0,5.0
177992678,144.65,41.467,24.108,9.282,0.0,5.0
177992700,145.01,41.607,24.134,9.048,0.0,5.0
177992722,145.37,41.525,24.284,7.826,0.0,5.0
177992743,145.73,41.231,24.083,7.292,0.0,5.0
177992765,146.09,41.569,24.023,4.949,0.0,5.0
177992787,146.45,40.804,23.775,3.604,0.0,5.0
177992808,146.81,41.09,24.053,5.507,0.0,5.0
177992830,147.17,41.114,24.0,3.158,0.0,5.0
177992852,147.54,41.195,24.19,2.534,0.0,5.0
177992873,147.9,41.201,23.782,3.288,0.0,5.0
177992895,148.26,40.397,23.823,1.946,0.0,5.0
177992917,148.62,40.169,23.791,1.231,0.0,5.0
177992938,148.98,41.232,23.953,2.165,0.0,5.0
177992960,149.34,40.798,23.665,-0.944,0.0,5.0
177992981,149.7,40.313,23.684,-0.089,0.0,5.0
177993003,150.06,41.185,23.697,-1.41,0.0,5.0
177993025,150.42,40.567,23.597,-1.733,0.0,5.0
177993046,150.78,40.953,23.466,-1.089,0.0,5.0
177993068,151.14,40.474,23.527,-2.473,0.0,5.0
177993090,151.5,41.241,23.623,-2.888,0.0,5.0
177993111,151.86,41.093,23.273,-2.825,0.0,5.0
177993133,152.22,40.271,23.412,-4.512,0.0,5.0
177993155,152.59,40.743,23.253,-5.307,0.0,5.0
177993176,152.95,40.601,23.503,-5.835,0.0,5.0
177993198,153.31,40.884,23.062,-6.983,0.0,5.0
177993220,153.67,39.949,23.174,-3.655,0.0,5.0
177993241,154.03,40.612,23.282,-6.765,0.0,5.0
177993263,154.39,40.77,23.428,-6.212,0.0,5.0
177993284,154.75,39.656,23.151,-6.477,0.0,5.0
177993306,155.11,39.904,23.047,-6.14,0.0,5.0
177993328,155.47,39.585,23.382,-5.845,0.0,5.0
177993349,155.83,40.321,22.853,-5.941,0.0,5.0
177993371,156.19,40.749,22.711,-7.35,0.0,5.0
177993393,156.55,41.101,23.078,-7.059,0.0,5.0
177993414,156.91,40.573,22.908,-6.711,0.0,5.0
177993436,157.27,41.244,22.803,-7.219,0.0,5.0
177993458,157.64,40.094,23.036,-5.552,0.0,5.0
177993479,158.0,40.023,22.94,-6.533,0.0,5.0
177993501,158.36,40.746,22.793,-6.264,0.0,5.0
177993523,158.72,10.99,22.661,-86.252,0.0,5.0
177993544,159.08,40.897,22.96,-5.689,0.0,5.0
177993566,159.44,40.162,22.903,-6.453,0.0,5.0
177993587,159.8,41.037,22.769,-7.627,0.0,5.0
177993609,160.16,40.64,23.039,-5.918,0.0,5.0
177993631,160.52,41.523,22.58,-6.656,0.0,5.0
177993652,160.88,41.501,22.492,-6.311,0.0,5.0
177993674,161.24,41.082,22.598,-5.047,0.0,5.0
177993696,161.6,41.361,22.676,-4.174,0.0,5.0
177993717,161.96,41.256,22.702,-4.958,0.0,5.0
177993739,162.32,41.773,22.612,-4.362,0.0,5.0
177993761,162.69,42.303,22.685,-2.746,0.0,5.0
177993782,163.05,41.655,22.43,-3.674,0.0,5.0
177993804,163.41,42.383,22.82,-1.138,0.0,5.0
177993826,163.77,42.107,22.578,-2.534,0.0,5.0
177993847,164.13,42.143,22.745,-4.168,0.0,5.0
177993869,164.49,42.564,22.617,-1.421,0.0,5.0
177993890,164.85,42.344,22.624,-1.248,0.0,5.0
177993912,165.21,42.691,22.631,0.1,0.0,5.0
177993934,165.57,42.593,22.604,0.099,0.0,5.0
177993955,165.93,44.022,22.625,-0.056,0.0,5.0
177993977,166.29,43.418,22.721,-0.434,0.0,5.0
177993999,166.65,43.297,22.546,1.099,0.0,5.0
177994020,167.01,43.838,22.617,1.163,0.0,5.0
177994042,167.37,43.888,22.493,2.069,0.0,5.0
177994064,167.74,44.029,22.72,3.804,0.0,5.0
177994085,168.1,44.551,22.4,5.48,0.0,5.0
177994107,168.46,44.8,22.77,5.055,0.0,5.0
177994129,168.82,44.48,22.494,4.366,0.0,5.0
177994150,169.18,44.661,22.286,6.603,0.0,5.0
177994172,169.54,44.984,22.521,8.059,0.0,5.0
177994193,169.9,44.379,22.403,7.23,0.0,5.0
177994215,170.26,44.903,22.634,8.472,0.0,5.0
177994237,170.62,46.268,22.415,9.436,0.0,5.0
177994258,170.98,46.595,22.451,9.564,0.0,5.0
177994280,171.34,46.056,22.241,11.716,0.0,5.0
177994302,171.7,46.607,22.464,11.902,0.0,5.0
177994323,172.06,46.725,22.176,13.281,0.0,5.0
177994345,172.42,48.059,22.312,13.011,0.0,5.0
